dialogue;pages;direct;narrated;meanSL;ratio;type
Alcibiades1;33;899;0;8.4269;27.242424242424242;direct
Apology;26;0;73;18.1056;2.8076923076923075;direct
Charmides;24;24;359;12.7469;15.958333333333334;narrated
Cratylus;58;774;0;12.6011;13.344827586206897;direct
Critias;16;20;0;28.7791;1.25;direct
Euthydemus;37;95;481;10.7725;15.567567567567568;narrated
Euthyphro;15;233;0;12.162;15.533333333333333;direct
Gorgias;81;1107;0;12.4702;13.666666666666666;direct
HippiasMi;14;231;0;11.2953;16.5;direct
Ion;13;174;0;12.8153;13.384615384615385;direct
Laches;24;265;0;14.1848;11.041666666666666;direct
Laws1;27;256;0;16.4698;9.481481481481481;direct
Laws10;27;262;0;16.7143;9.703703703703704;direct
Laws11;26;48;0;26.7429;1.8461538461538463;direct
Laws12;29;130;0;23.839;4.482758620689655;direct
Laws2;23;230;0;17.5061;10;direct
Laws3;27;293;0;16.7935;10.851851851851851;direct
Laws4;21;169;0;17.6511;8.047619047619047;direct
Laws5;22;23;0;25.9779;1.0454545454545454;direct
Laws6;35;124;0;23.5161;3.5428571428571427;direct
Laws7;37;251;0;20.1524;6.783783783783784;direct
Laws8;23;97;0;23.8323;4.217391304347826;direct
Laws9;30;116;0;23.8256;3.8666666666666667;direct
Lysis;21;21;234;10.5438;12.142857142857142;narrated
Menexenus;16;46;0;21.1806;2.875;direct
Meno;31;570;0;10.562;18.387096774193548;direct
Parmenides;41;1031;147;9.7901;28.73170731707317;narrated
Phaedo;62;93;573;17.4182;10.741935483870968;narrated
Phaedrus;53;400;0;16.5457;7.547169811320755;direct
Philebus;57;1142;0;11.5477;20.035087719298247;direct
Protagoras;54;74;227;15.4069;5.574074074074074;narrated
Republic1;28;28;489;11.1795;18.464285714285715;narrated
Republic10;27;27;323;15.4212;12.962962962962964;narrated
Republic2;27;27;319;14.6952;12.814814814814815;narrated
Republic3;32;32;449;15.3373;15.03125;narrated
Republic4;27;27;457;13.9686;17.925925925925927;narrated
Republic5;32;32;568;12.5324;18.75;narrated
Republic6;28;28;409;15.083;15.607142857142858;narrated
Republic7;28;28;369;15.021;14.178571428571429;narrated
Republic8;27;27;444;14.352;17.444444444444443;narrated
Republic9;22;22;406;13.0629;19.454545454545453;narrated
Sophist;53;1178;0;10.5144;22.22641509433962;direct
Statesman;55;898;0;13.2756;16.327272727272728;direct
Symposium;52;56;236;17.1523;5.615384615384615;narrated
Theaetetus;69;1029;0;12.48;14.91304347826087;direct
Timaeus;76;113;0;26.379;1.486842105263158;direct
